filename,date,caption
foto1.jpg,10/01/2023,Primeiro registro do ano novo
foto2.jpg,25/01/2023,Café com as amigas
foto3.jpg,14/02/2023,Dia marcante no centro
foto4.jpg,03/03/2023,Manhã de estudos e sol
foto5.jpg,22/03/2023,Sorrisos sinceros
foto6.jpg,10/04/2023,Primeiro outono
foto7.jpg,28/04/2023,Leitura no parque
foto8.jpg,12/05/2023,Dia especial com a família
foto9.jpg,01/06/2023,Céu cinza, mente leve
foto10.jpg,15/06/2023,Descanso merecido
foto11.jpg,02/07/2023,Caminhada na praia
foto12.jpg,23/07/2023,Tarde preguiçosa
foto13.jpg,08/08/2023,Um novo começo
foto14.jpg,29/08/2023,Amores e risadas
foto15.jpg,05/09/2023,Café e planos
foto16.jpg,19/09/2023,Dia de conquistas
foto17.jpg,01/10/2023,Primavera chegou
foto18.jpg,12/10/2023,Tranquilidade
foto19.jpg,26/10/2023,Últimos dias de sol
foto20.jpg,05/11/2023,Momento presente
